,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_followers,artist_genres,artist_popularity
0,0.197,0.0604,6,-28.698,1,0.0445,0.826,0.854,0.109,0.065,63.521,audio_features,0btPgQRq46JCg9Yu3buYWg,spotify:track:0btPgQRq46JCg9Yu3buYWg,https://api.spotify.com/v1/tracks/0btPgQRq46JCg9Yu3buYWg,https://api.spotify.com/v1/audio-analysis/0btPgQRq46JCg9Yu3buYWg,219802,4,87,[],45
0,0.146,0.0324,1,-29.368,1,0.0465,0.87,0.678,0.107,0.113,139.562,audio_features,0XQE8wnzDGvxrDgpQNkfDF,spotify:track:0XQE8wnzDGvxrDgpQNkfDF,https://api.spotify.com/v1/tracks/0XQE8wnzDGvxrDgpQNkfDF,https://api.spotify.com/v1/audio-analysis/0XQE8wnzDGvxrDgpQNkfDF,93394,3,119,[],40
0,0.256,0.0999,7,-18.736,1,0.0341,0.98,0.849,0.0867,0.0397,101.663,audio_features,5JUL9mfxiKDuBx4H3ZZJAD,spotify:track:5JUL9mfxiKDuBx4H3ZZJAD,https://api.spotify.com/v1/tracks/5JUL9mfxiKDuBx4H3ZZJAD,https://api.spotify.com/v1/audio-analysis/5JUL9mfxiKDuBx4H3ZZJAD,175250,4,508,[],45
0,0.279,0.211,1,-11.543,1,0.0316,0.967,0.928,0.0963,0.0384,132.424,audio_features,6Prt67giLGsZm60AjT1dlh,spotify:track:6Prt67giLGsZm60AjT1dlh,https://api.spotify.com/v1/tracks/6Prt67giLGsZm60AjT1dlh,https://api.spotify.com/v1/audio-analysis/6Prt67giLGsZm60AjT1dlh,182582,1,3516,['background music'],54
0,0.136,0.186,7,-20.157,0,0.0327,0.94,0.959,0.156,0.0368,74.995,audio_features,3FVd5GGOeJFvU97JFH7jMH,spotify:track:3FVd5GGOeJFvU97JFH7jMH,https://api.spotify.com/v1/tracks/3FVd5GGOeJFvU97JFH7jMH,https://api.spotify.com/v1/audio-analysis/3FVd5GGOeJFvU97JFH7jMH,192000,5,382,[],45
0,0.119,0.0863,0,-21.296,1,0.038,0.914,0.911,0.121,0.0335,83.485,audio_features,1eihRcf7w68iW9IPTs76fc,spotify:track:1eihRcf7w68iW9IPTs76fc,https://api.spotify.com/v1/tracks/1eihRcf7w68iW9IPTs76fc,https://api.spotify.com/v1/audio-analysis/1eihRcf7w68iW9IPTs76fc,145194,4,16,[],41
0,0.172,0.116,0,-25.051,1,0.0361,0.962,0.972,0.12,0.0336,122.497,audio_features,4Qrvxn7gC2JLo2VYGZ4z9r,spotify:track:4Qrvxn7gC2JLo2VYGZ4z9r,https://api.spotify.com/v1/tracks/4Qrvxn7gC2JLo2VYGZ4z9r,https://api.spotify.com/v1/audio-analysis/4Qrvxn7gC2JLo2VYGZ4z9r,217263,4,10,[],36
0,0.0845,0.134,8,-24.611,0,0.0403,0.838,0.849,0.104,0.0961,80.394,audio_features,6InNkqlwY0lPh4oPTOucPq,spotify:track:6InNkqlwY0lPh4oPTOucPq,https://api.spotify.com/v1/tracks/6InNkqlwY0lPh4oPTOucPq,https://api.spotify.com/v1/audio-analysis/6InNkqlwY0lPh4oPTOucPq,192091,4,6,[],42
0,0.0994,0.0332,5,-26.937,1,0.0423,0.989,0.953,0.09,0.102,74.34,audio_features,4WbiuBYX3V3KIm1rWcFyqk,spotify:track:4WbiuBYX3V3KIm1rWcFyqk,https://api.spotify.com/v1/tracks/4WbiuBYX3V3KIm1rWcFyqk,https://api.spotify.com/v1/audio-analysis/4WbiuBYX3V3KIm1rWcFyqk,163177,4,6,[],43
0,0.131,0.131,7,-28.702,1,0.0398,0.779,0.804,0.107,0.038,69.261,audio_features,6gfL880RuRTk3toqkVxjGO,spotify:track:6gfL880RuRTk3toqkVxjGO,https://api.spotify.com/v1/tracks/6gfL880RuRTk3toqkVxjGO,https://api.spotify.com/v1/audio-analysis/6gfL880RuRTk3toqkVxjGO,189375,3,349,[],48
